,host_response_rate,beds,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
14874,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.89,5.0,4.89,5.0,4.93,4.96,4.85,3.14
14875,0.99,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.79,4.93,4.93,5.0,4.93,4.93,4.5,0.93
14876,1.0,1.0,1.6,1.9,1125.0,1125.0,1.8,1125.0,4.33,4.78,4.56,4.89,4.9,5.0,4.8,0.6
14877,1.0,3.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,4.46,4.64,4.87,4.69,4.64,4.79,4.51,2.59
14878,1.0,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.78,4.81,4.94,4.75,4.88,4.97,4.69,2.15
14879,0.99,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.57,4.75,4.79,4.79,4.82,4.93,4.57,1.88
14880,1.0,2.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.93,4.97,5.0,4.93,4.9,4.86,4.97,2.03
14881,0.99,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.56,4.78,5.0,4.56,4.56,5.0,4.78,0.61
14882,1.0,2.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.64,4.61,4.76,4.7,4.67,4.85,4.61,2.22
14883,1.0,1.0,2.0,2.0,365.0,365.0,2.0,365.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.19
14884,1.0,1.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,4.7,4.8,4.7,4.8,4.8,4.8,4.7,1.7
14885,0.95,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.47,4.9,4.45,4.67,4.9,4.61,4.41,1.4
14886,0.95,1.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,4.71,4.76,4.66,4.73,4.59,4.75,4.75,1.4
14887,0.9,1.6,1.0,1.0,365.0,365.0,1.0,365.0,4.64,4.91,4.55,5.0,4.55,5.0,4.73,0.9
